"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
3;0,520778540235688;"C. pinnata";"Oui";"SVM";"Sans blocs"
4;0,516391247960042;"C. pinnata";"Oui";"SVM";"Sans blocs"
5;0,519309764496778;"C. pinnata";"Oui";"SVM";"Sans blocs"
1;0,517145516040412;"Azadirachta indica";"Non";"SVM";"Sans blocs"
2;0,508585597780631;"Azadirachta indica";"Non";"SVM";"Sans blocs"
3;0,510998244020898;"Azadirachta indica";"Non";"SVM";"Sans blocs"
4;0,508114476331674;"Azadirachta indica";"Non";"SVM";"Sans blocs"
5;0,510411382611491;"Azadirachta indica";"Non";"SVM";"Sans blocs"
1;0,527129151575528;"Azadirachta indica";"Oui";"SVM";"Sans blocs"
2;0,524207610290237;"Azadirachta indica";"Oui";"SVM";"Sans blocs"
3;0,503669313839776;"Azadirachta indica";"Oui";"SVM";"Sans blocs"
4;0,504623658466224;"Azadirachta indica";"Oui";"SVM";"Sans blocs"
5;0,494478181878636;"Azadirachta indica";"Oui";"SVM";"Sans blocs"
1;0,618328920363848;"C. pinnata";"Non";"bioclim";"Avec blocs"
2;0,703106551760489;"C. pinnata";"Non";"bioclim";"Avec blocs"
3;0,852992919166187;"C. pinnata";"Non";"bioclim";"Avec blocs"
4;0,79469846040094;"C. pinnata";"Non";"bioclim";"Avec blocs"
5;0,671876717894787;"C. pinnata";"Non";"bioclim";"Avec blocs"
1;0,680722819064028;"C. pinnata";"Oui";"bioclim";"Avec blocs"
2;0,707626370440649;"C. pinnata";"Oui";"bioclim";"Avec blocs"
3;0,735330553044622;"C. pinnata";"Oui";"bioclim";"Avec blocs"
4;0,813077349647598;"C. pinnata";"Oui";"bioclim";"Avec blocs"
5;0,697045818494706;"C. pinnata";"Oui";"bioclim";"Avec blocs"
1;0,772690807638098;"A. indica";"Non";"bioclim";"Avec blocs"
2;0,747035057005614;"A. indica";"Non";"bioclim";"Avec blocs"
3;0,758601971862191;"A. indica";"Non";"bioclim";"Avec blocs"
